Account,Transaction_Date,Transaction_Type,Num,Customer,Vendor,Memo,Cleared,Amount,Facility
,2025-09-15,Deposit,,Weave,,,Uncleared,77.43,Greeley
,2025-09-16,Deposit,,Weave,,,Uncleared,38.79,Greeley
,2025-09-17,Deposit,,Weave,,,Uncleared,155.16,Greeley
,2025-09-18,Deposit,,Weave,,,Uncleared,87.34,Greeley
,2025-09-18,Deposit,,,,,,623.0,Greeley
,2025-09-18,Deposit,,,,Lien Settlment,Uncleared,623.0,Greeley
,2025-09-19,Deposit,,,ART GREELEY LLC,,Cleared,1500.0,Denver
,2025-09-19,Deposit,,HSS,,,Cleared,2251.56,Denver
,2025-09-19,Deposit,,,MEDPORT,,Uncleared,2021.77,Greeley
,2025-09-19,Deposit,,,HSS,,Uncleared,1772.52,Greeley
,2025-09-22,Deposit,,,,ART Management,Uncleared,4000.0,Greeley
,2025-09-22,Deposit,,,,,Uncleared,1330.54,Greeley
,2025-09-22,Deposit,,,,,Uncleared,4000.0,Greeley
,2025-09-23,Deposit,,,ART GREELEY LLC,CHG Reimbursement PT,,-5120.0,Denver
,2025-09-23,Deposit,,,ART GREELEY LLC,CHG Temp agency Reimbursement,Cleared,5120.0,Denver
,2025-09-24,Deposit,,Marrick Medical,,,Uncleared,2745.88,Greeley
,2025-09-24,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Uncleared,154.66,Greeley
,2025-09-25,Deposit,,,Cardigan Health,,Cleared,680.1,Denver
,2025-09-25,Deposit,,,Cardigan Health,,Cleared,617.25,Denver
,2025-09-25,Deposit,,,Cardigan Health,,Uncleared,1904.46,Greeley
,2025-09-25,Deposit,,,Cardigan Health,,Uncleared,3196.34,Greeley
,2025-09-25,Deposit,,,Cardigan Health,,Uncleared,2396.68,Greeley
,2025-09-25,Deposit,,,,,,64.0,Greeley
,2025-09-25,Deposit,,,,,,20.55,Greeley
,2025-09-25,Deposit,,,,,,1.81,Greeley
,2025-09-25,Deposit,,Marrick Medical,,9.11.2025,,2198.14,Greeley
,2025-09-25,Deposit,,Marrick Medical,,8.29.2025,,700.06,Greeley
,2025-09-25,Deposit,,,,,,65.0,Greeley
,2025-09-25,Deposit,,,,,Uncleared,2876.84,Greeley
,2025-09-26,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Uncleared,9.51,Greeley
,2025-09-26,Deposit,,,Cardigan Health,Cardigan Health   MercuryACH Cardigan Health   MercuryACH                     XXXXXX5423,Cleared,771.78,Denver
,2025-09-29,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Uncleared,77.33,Greeley
,2025-09-29,Deposit,,,HSS,TRANSFER          ONLINE TRANSFER          ONLINE                         XXXXXX8143,Uncleared,650.37,Greeley
,2025-09-29,Deposit,,HSS,,TRANSFER          ONLINE TRANSFER          ONLINE                         XXXXXX8051,Cleared,601.19,Denver
,2025-09-29,Deposit,,Nationwide,,REGULAR DEPOSIT,Uncleared,157.72,Greeley
,2025-09-29,Deposit,,Nationwide,,REGULAR DEPOSIT,Uncleared,82.1,Greeley
,2025-09-30,Deposit,,,,September 2025,Cleared,724.79,Greeley
,2025-09-30,Deposit,,,,,,724.79,Greeley
,2025-10-01,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Uncleared,53.18,Greeley
,2025-10-01,Deposit,,,TRIO,Omni HC-IF        ADVANCE Omni HC-IF        ADVANCE                        XXXXXX4475,Uncleared,2181.65,Greeley
,2025-10-01,Deposit,,Marrick Medical,,HNB - ECHO        HCCLAIMPMT HNB - ECHO        HCCLAIMPMT                     XXXXXX4314,Uncleared,229.82,Greeley
,2025-10-01,Deposit,,,TRIO,Omni HC-IF        ADVANCE Omni HC-IF        ADVANCE                        XXXXXX4474,Cleared,147.6,Denver
,2025-10-03,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Uncleared,140.77,Greeley
,2025-10-03,Deposit,,,Nationwide Insurance,,Uncleared,369.0,Greeley
,2025-10-03,Deposit,,,Corvel,,Uncleared,291.58,Greeley
,2025-10-03,Deposit,,,ART GREELEY LLC,,Cleared,1000.0,Denver
,2025-10-06,Deposit,,,,,Uncleared,467.6,Greeley
,2025-10-06,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Uncleared,72.7,Greeley
,2025-10-06,Deposit,,,,,,1232.62,Denver
,2025-10-06,Deposit,,,,UNKNOWN????,Cleared,1232.62,Denver
,2025-10-07,Deposit,,,,,Cleared,500.0,Denver
,2025-10-08,Deposit,,,,,Uncleared,82.21,Greeley
,2025-10-09,Deposit,,Guardian Medical,,,Uncleared,225.0,Greeley
,2025-10-10,Deposit,,,,,Uncleared,53.18,Greeley
,2025-10-14,Deposit,,,Corvel,,Uncleared,145.79,Greeley
,2025-10-14,Deposit,,,Cardigan Health,,Cleared,105.64,Denver
,2025-10-16,Deposit,,,Marrick Medical,,,1847.29,Denver
,2025-10-16,Deposit,,,,,Cleared,1792.71,Denver
,2025-10-16,Deposit,,Marrick Medical,,,Uncleared,1581.51,Greeley
,2025-10-16,Deposit,,,,,,54.58,Denver
,2025-10-17,Deposit,,,HSS,,Uncleared,1207.4,Greeley
,2025-10-17,Deposit,,,TRIO,,Uncleared,4349.08,Greeley
,2025-10-17,Deposit,,HSS,,,Cleared,2409.4,Denver
,2025-10-17,Deposit,,,,,Uncleared,-4.35,Greeley
,2025-10-17,Deposit,,,,,,130.0,Greeley
,2025-10-17,Deposit,,,,10/13-10/14/2025,Uncleared,125.65,Greeley
,2025-10-17,Deposit,,,Cardigan Health,,Uncleared,17.82,Greeley
,2025-10-17,Deposit,,HSS,,,Cleared,3631.5,Denver
,2025-10-17,Deposit,,,HSS,,Uncleared,819.77,Greeley
,2025-10-20,Deposit,,,TRIO,,Uncleared,1566.48,Greeley
,2025-10-20,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Uncleared,135.89,Greeley
,2025-10-22,Deposit,,Patient Payment,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX6458,Cleared,718.03,Denver
,2025-10-22,Deposit,,MEDPORT,,Medport Billing   GR0552 Medport Billing   GR0552                         XXXXXX9397,Cleared,3367.42,Denver
,2025-10-22,Deposit,,Marrick Medical,,,Uncleared,2744.54,Greeley
,2025-10-24,Deposit,,,Sedgwick,,Uncleared,112.52,Greeley
,2025-10-24,Deposit,,,,TRANSFER          ONLINE TRANSFER          ONLINE                         XXXXXX8471,Cleared,1207.98,Denver
,2025-10-24,Deposit,,PROGRESSIVE,,REGULAR DEPOSIT,Cleared,213.0,Denver
,2025-10-24,Deposit,,,Sedgwick,,Uncleared,1192.58,Greeley
,2025-10-24,Deposit,,,HSS,,Uncleared,557.82,Greeley
,2025-10-24,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Uncleared,131.01,Greeley
,2025-10-27,Deposit,,,TRIO,,Cleared,387.73,Denver
,2025-10-27,Deposit,,,,,Uncleared,97.1,Greeley
,2025-10-27,Deposit,,,TRIO,,Uncleared,407.04,Greeley
,2025-10-28,Deposit,,,MoveDocs,,Uncleared,3367.42,Greeley
,2025-10-29,Deposit,,Marrick Medical,,,Uncleared,295.2,Greeley
,2025-10-29,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Uncleared,67.82,Greeley
,2025-10-30,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Uncleared,38.79,Greeley
,2025-10-31,Deposit,,"Zobel Law, LLC",,,Cleared,13007.88,Greeley
,2025-10-31,Deposit,,HSS,,,Cleared,2406.69,Denver
,2025-10-31,Deposit,,,TRIO,Omni HC-IF        ADVANCE Omni HC-IF        ADVANCE                        XXXXXX7105,Cleared,152.03,Denver
,2025-10-31,Deposit,,,Cardigan Health,Cardigan Health   MercuryACH Cardigan Health   MercuryACH                     XXXXXX6886,Cleared,1039.22,Denver
,2025-10-31,Deposit,,,Marrick Medical,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX0378,,650.24,Denver
,2025-10-31,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX0378,Cleared,631.13,Denver
,2025-10-31,Deposit,,,TRIO,Omni HC-IF        ADVANCE Omni HC-IF        ADVANCE                        XXXXXX7106,Uncleared,1036.34,Greeley
,2025-10-31,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX0378,,19.11,Denver
,2025-11-03,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Uncleared,48.3,Greeley
,2025-11-03,Deposit,,,HSS,TRANSFER          ONLINE TRANSFER          ONLINE                         XXXXXX7375,Uncleared,498.21,Greeley
,2025-11-04,Deposit,,,Corvel,REGULAR DEPOSIT,Uncleared,155.78,Greeley
,2025-11-04,Deposit,,Guardian Medical,,REGULAR DEPOSIT,Uncleared,225.0,Greeley
,2025-11-04,Deposit,,Nationwide,,REGULAR DEPOSIT,Uncleared,341.0,Greeley
,2025-11-04,Deposit,,,Sedgwick,REGULAR DEPOSIT,Uncleared,317.15,Greeley
,2025-11-04,Deposit,,,Corvel,REGULAR DEPOSIT,Uncleared,145.79,Greeley
,2025-11-04,Deposit,,Nationwide,,REGULAR DEPOSIT,Uncleared,157.72,Greeley
,2025-11-04,Deposit,,Nationwide,,REGULAR DEPOSIT,Uncleared,183.28,Greeley
,2025-11-04,Deposit,,Nationwide,,REGULAR DEPOSIT,Uncleared,287.28,Greeley
,2025-11-05,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Uncleared,865.51,Greeley
,2025-11-06,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Uncleared,482.24,Greeley
,2025-11-10,Deposit,,,HSS,TRANSFER          ONLINE TRANSFER          ONLINE                         XXXXXX3279,Uncleared,569.34,Greeley
,2025-11-10,Deposit,,,,Weave Payment Pr  Weave Paym Weave Payment Pr  Weave Paym                     XXXXXX9177,Uncleared,169.55,Greeley
,2025-11-10,Deposit,,HSS,,,Cleared,1231.74,Denver
,2025-11-13,Deposit,,,,,Cleared,58.06,Greeley
,2025-11-14,Deposit,,Marrick Medical,,,Cleared,1390.41,Greeley
,2025-11-14,Deposit,,,,,Cleared,126.13,Greeley
,2025-11-14,Deposit,,,Marrick Medical,,Cleared,685.32,Denver
,2025-11-17,Deposit,,,TRIO,,Cleared,598.44,Denver
,2025-11-17,Deposit,,,,,Cleared,106.61,Greeley
,2025-11-17,Deposit,,,TRIO,,Cleared,2880.54,Greeley
,2025-11-19,Deposit,,HSS,,,Cleared,1669.8,Denver
,2025-11-19,Deposit,,,HSS,,Cleared,410.11,Greeley
,2025-11-19,Deposit,,,,,Cleared,324.19,Greeley
,2025-11-19,Deposit,,Marrick Medical,,,,2315.38,Greeley
,2025-11-19,Deposit,,,Cardigan Health,,Cleared,595.5,Denver
,2025-11-19,Deposit,,,Marrick Medical,11/13/2025,Cleared,2026.13,Denver
,2025-11-19,Deposit,,,Marrick Medical,,,2026.13,Denver
